,Belt1_length_deviation,Belt2_length_deviation,TD_length_deviation,IL_length_deviation,PLY1_length_deviation,PLY2_length_deviation,Belt1_width_deviation,Belt2_width_deviation,TD_width_deviation,1BPR_CYCLE_MAT_AT_FRONT,1BPR_CYCLE_TOTAL,2BPR_CYCLE_MAT_AT_FRONT,2BPR_CYCLE_TOTAL,BP1_TOTAL_SCRAP_CUTOUT,BP2_TOTAL_SCRAP_CUTOUT,BPPR_BP1_CYCLE_REST,BPPR_BP2_CYCLE_REST,BR1_LE_ANGLE_MEASURED,BR1_TE_ANGLE_MEASURED,BR2_LE_ANGLE_MEASURED,BR2_TE_ANGLE_MEASURED,BR2_WIDTH_MEASURED,BTPR_CYCLE_TIME_WAIT_CC,DR_SHAPE_PRESSURE_MAX,DR_STITCH_TD_PRESSURE_MAX,DR_TURNUP_PRESSURE_MAX,PR_CYCLE_TIME_1PAP,PR_CYCLE_TIME_PAAP,PR_CYCLE_TIME_STITCH_PA,ISDS_AMOUNT_SPLICES_BP1,ISDS_AMOUNT_SPLICES_BP2,PA_ANGLE_MEASURED,PA_WIDTH_MEASURED,PAPR_CYCLE_MAT_AT_FRONT,PAPR_CYCLE_TOTAL,TDPR_CYCLE_MAT_AT_FRONT,TDPR_CYCLE_TOTAL,BARCODE,FVCW,ONICITY,Upper,ower,tatic,gt_date,Non_Uniformity_Imbalance,Non_Uniformity_RFPP,timeperiod,Rejection_RFPP_Imbalance
3226,-2.64,2.21,-0.1,1,-0.11,0,-1,-1.35,-0.18,29.305,60.725,28.206,60.738,0,0,51.524,0,29.43,29.39,28.19,27.6,184.65,0,0.851648,1.11661,0.664225,0,0,0,0,0,0,0,22.278,72.808,36.303,67.546,8309116046,7.06,-3.13,8.69,17.02,10.53,25-03-2022,0,0,Control 1,Not Rejected Tyre
3225,2.78,1.05,-1.75,-0.38,0.36,0,-0.94,0.02,-0.18,26.823,60.794,28.807,60.824,80,0,44.907,0,29.12,29.39,27.82,27.74,186.02,0,0.851038,1.116,0.660562,0,0,0,0,0,0,0,10.292,60.942,29.644,60.978,8309116263,3.65,-2.09,4.76,16.31,16.26,25-03-2022,0,0,Control 1,Not Rejected Tyre
3224,1.63,1.44,-2.64,-0.21,3.01,0,-1.16,-0.48,-0.42,109.321,140.7,108.683,140.728,80,0,124.865,0,29.18,29.23,27.76,27.82,185.52,0,0.848596,1.11538,0.660562,0,0,0,0,0,0,0,82.708,133.363,29.468,60.781,8309116290,3.1,-2.88,13.19,19.84,8.1,25-03-2022,0,0,Control 1,Not Rejected Tyre
3223,-3.26,-2.12,-2.23,-0.15,2.52,0,-0.82,0.95,-0.12,29.371,60.876,28.877,60.843,0,0,44.74,0,29.28,29.25,27.88,27.89,186.95,0,0.857753,1.11416,0.662393,0,0,0,0,0,0,0,10.542,61.034,29.585,60.842,8309203847,6.02,-0.11,2.65,15.03,14.49,25-03-2022,0,0,Control 1,Not Rejected Tyre
3081,-4.78,0.24,-1.47,2.13,0.13,0,-2.42,0.4,-0.55,8.415,40.063,12.956,83.369,0,0,31.195,0,29.47,28.73,28.39,27.69,186.4,0,0.85348,1.11416,0.663004,0,0,0,0,0,0,0,10.454,60.984,72.796,104.083,8309116135,6.13,-0.44,12.21,3.8,8.41,25-03-2022,0,0,Control 1,Not Rejected Tyre
3221,2.57,-0.63,-1.51,0.04,0.66,0,-1.37,-1.46,-0.44,29.238,60.854,28.751,60.827,0,0,44.663,0,29.22,29.3,27.88,27.82,184.54,0,0.854701,1.11233,0.660562,0,0,0,0,0,0,0,10.525,61.121,34.033,65.346,8309116241,4.6,-2.19,7.43,1.07,7.25,25-03-2022,0,0,Control 1,Not Rejected Tyre
3220,2.74,1.53,-2.38,0.96,-1.51,0,-0.95,-1.03,-0.3,50.179,81.706,49.566,81.712,0,0,91.689,0,29.42,29.32,27.68,27.8,184.97,0,0.85348,1.11355,0.661783,0,0,0,0,0,0,0,6.004,59.474,25.257,56.607,8309116288,5.75,0.04,29.95,10.17,29.36,25-03-2022,0,0,Control 1,Not Rejected Tyre
3219,1.45,2.06,-0.94,0.74,-0.63,0,-2.05,-0.8,0.1,29.32,60.866,28.906,60.879,0,0,80.136,0,29.42,29.48,27.79,27.81,185.2,0,0.851648,1.11538,0.662393,0,0,0,0,0,0,0,10.402,61.052,28.074,59.409,8309116259,5.33,2.07,7.21,18.45,16.38,25-03-2022,0,0,Control 1,Not Rejected Tyre
3218,-0.82,-0.76,-1.25,-0.42,-0.48,0,-0.11,0.88,-0.18,101.715,133.158,101.116,133.185,0,0,103.227,0,29.26,29.2,27.59,27.67,186.88,0,0.849817,1.11355,0.662393,0,0,0,0,0,0,0,170.135,220.717,109.614,140.953,8309116291,3.63,-1.8,28.6,18.31,24.03,25-03-2022,0,0,Control 1,Not Rejected Tyre
3190,2.51,3.61,-1.82,0.65,-1.82,0,-0.74,-1.41,-0.35,93.785,125.555,93.432,125.598,80,0,68.07,0,29.81,29.41,28.15,27.59,184.59,0,0.851648,1.116,0.660562,0,0,0,0,0,0,0,10.26,60.846,29.545,60.825,8309116233,3.49,-2.97,1.2,20.05,20.8,25-03-2022,0,0,Control 1,Not Rejected Tyre
3189,2.51,3.61,-1.82,0.65,-1.82,0,-0.74,-1.41,-0.35,93.785,125.555,93.432,125.598,80,0,68.07,0,29.81,29.41,28.15,27.59,184.59,0,0.851648,1.116,0.660562,0,0,0,0,0,0,0,10.26,60.846,29.545,60.825,8309116233,3.49,-2.97,1.2,20.05,20.8,25-03-2022,0,0,Control 1,Not Rejected Tyre
3074,5.11,3.35,-0.69,0.7,0.65,0,-2.48,0.07,-0.62,28.041,59.763,83.861,116.26,0,0,73.205,0,29.28,28.85,28.2,28.01,186.07,0,0.849817,1.11416,0.660562,0,0,0,0,0,0,0,83.886,134.559,89.896,121.238,8309116202,4.57,0.12,26.99,14.97,24.75,25-03-2022,0,0,Control 1,Not Rejected Tyre
